title,link,snippet
Euro-Mediterranean Meeting of Economic and Social Councils on ...,https://spanish-presidency.consilium.europa.eu/en/events/euro-mediterranean-meeting-of-economic-and-social-councils-on-climate-change-migration-mediterranean/,"Oct 1, 2023 ... Meeting of experts / officials 10 October - 11 November 2023. Euro-Mediterranean Meeting of Economic and Social Councils on Climate Change and Migration in ..."
Climate change: what the EU is doing - Consilium,https://www.consilium.europa.eu/en/policies/climate-change/,"Oct 18, 2023 ... Tackling climate change and minimising its effects is a priority for the EU ... the economic cost of river flooding in Europe exceeds €5 billion a year on average ..."
EU-Startups | Spotlight on European startups,https://www.eu-startups.com/,5 hours ago ... Agtech startup FarmInsect has successfully raised a Series A financing round of €... ... STARTUP NEWS – By Country. Austria · Belgium · Croatia · Czechia ...
Inforegio - The EU dedicates €118 billion to climate change projects ...,https://ec.europa.eu/regional_policy/whats-new/panorama/2023/10/10-11-2023-the-eu-dedicates-eur118-billion-to-climate-change-projects-through-cohesion-policy_en,"Oct 11, 2023 ... The EU dedicates €118 billion to climate change projects through cohesion policy. 11 Oct 2023. Panorama - Stories from Regional and urban policy ..."
Delivering the European Green Deal,https://commission.europa.eu/strategy-and-policy/priorities-2019-2024/european-green-deal/delivering-european-green-deal_en,"Oct 9, 2023 ... ... climate and energy-related projects and the social dimension of the transition. The new Social Climate Fund will dedicate €65 billion from the EU budget ..."
Economic losses from weather- and climate-related extremes in ...,https://www.eea.europa.eu/en/analysis/indicators/economic-losses-from-climate-related,"Oct 6, 2023 ... ... climate-related events and to closing the climate protection gap . An example ... Total losses (Million EURO), Losses per sq.km (EURO), Losses per capita (EURO) ..."
Carbon Border Adjustment Mechanism,https://taxation-customs.ec.europa.eu/carbon-border-adjustment-mechanism_en,"Oct 6, 2023 ... ... Euro ... The price of the certificates will be calculated depending on the weekly average auction price of EU ETS allowances expressed in €/tonne of CO2 emitted."
Companies Win 1 Million Euro Contract to Use Quantum Machine ...,https://thequantuminsider.com/2023/10/03/companies-win-1-million-euro-contract-to-use-quantum-machine-learning-to-improve-climate-models/,"Oct 3, 2023 ... Companies Win 1 Million Euro Contract to Use Quantum Machine Learning to Improve Climate Models ... climate change. This s is already the second order from DLR ..."
Climate – France's contribution to the Green Climate Fund (06.10.23 ...,https://www.diplomatie.gouv.fr/en/french-foreign-policy/climate-and-environment/news/article/climate-france-s-contribution-to-the-green-climate-fund-06-10-23,"Oct 6, 2023 ... France is especially committed to provide climate financing to developing countries. In late 2020, President Macron pledged to allocate €6 billion each year ..."
"Bloomberg and MSCI Launch Global, Euro and US Corporate Paris ...",https://www.bloomberg.com/company/press/bloomberg-and-msci-launch-global-euro-and-us-corporate-paris-aligned-indices/,"8 days ago ... Bloomberg and MSCI announced today the launch of the first indices in their joint Climate Benchmark offering with the Bloomberg MSCI Global, Euro and US ..."
Germany tops €6 bln climate finance target for poorer nations three ...,https://www.cleanenergywire.org/news/germany-tops-eu6-bln-climate-finance-target-poorer-nations-three-years-early,"Sep 29, 2023 ... Germany tops €6 bln climate finance target for poorer nations three years early ... Climate & CO2, Society, International · Germany's climate obligations under ..."
Ireland lays out plans for 100 billion euro sovereign wealth fund ...,https://www.reuters.com/sustainability/sustainable-finance-reporting/ireland-lay-out-sovereign-wealth-fund-plans-expansionary-budget-2023-10-09/,"Oct 10, 2023 ... The government will also establish a second, smaller 14 billion euro infrastructure and climate fund, available to catch up on targets to cut greenhouse gas ..."
Templeton Global Climate Change Fund - A (Ydis) EUR ...,https://www.franklintempleton.lu/our-funds/price-and-performance/products/1339/A/templeton-global-climate-change-fund/LU0029873410,7 days ago ... Seeking capital appreciation by investing in undervalued securities in a well-diversified global equity fund with the Euro as its base currency. ... €20 €25 €30 € ...
S Leasing Serbia gets €10 million from EBRD and Green Climate ...,https://www.ebrd.com/news/2023/s-leasing-serbia-gets-10-million-from-ebrd-and-green-climate-fund.html,"Oct 12, 2023 ... €10 million to SLS for leasing of green energy technologies · Funds provided by the EBRD and the Green Climate Fund · Green tech pre-approved through EBRD Green ..."
Cordex – Coordinated Regional Climate Downscaling Experiment,https://cordex.org/,"Oct 13, 2023 ... ... EURO-CORDEX. Please share widely. We also hope this approach and the ... – Regional climate researchers, decision makers and other users of regional climate inf.."
From car-free zones to Arctic solar power: Positive environmental ...,https://www.euronews.com/green/2023/10/16/here-are-all-the-positive-environmental-stories-from-2023-so-far,"Oct 16, 2023 ... As well as the climate, given the vast amounts of CO2 stored at these depths. ... euro ocean protection plan · Renewable and fossil-fuel energy is produced when ..."
EU carbon price to hit €400 mark with 90% climate goal: analysts ...,https://www.euractiv.com/section/emissions-trading-scheme/news/eu-carbon-price-to-hit-e400-mark-with-90-climate-goal-analysts/,"Oct 5, 2023 ... ... €400 mark with 90% climate goal: analysts. EU carbon price to hit €400 mark ... The 2040 target will determine the supply of CO2 allowances on the EU's ..."
Travel insurtech startup BeSafe Group closes €3M round | PhocusWire,https://www.phocuswire.com/travel-insurtech-besafe-gruop-closes-3m-round,"Oct 3, 2023 ... Travel insurtech startup BeSafe Group closes €3M round ... BeSafeGroup, a travel-insurtech company based in Rome, has raised €3 million in Series A funding. The ..."
Cambodia In The Driver's Seat Toward Euro VI Standards | Climate ...,https://www.ccacoalition.org/news/cambodia-drivers-seat-toward-euro-vi-standards,"Oct 10, 2023 ... Short-lived climate pollutants Short-lived climate pollutants. Back. Short-lived ... Euro IV vehicle emission standards and develop a roadmap to Euro VI standards ..."
"German climate protesters asked to pay €120,000 in damages to ...",https://www.euronews.com/green/2023/10/12/german-climate-protesters-asked-to-pay-120000-in-damages-to-eurowings-after-airport-blocka,"Oct 12, 2023 ... Budget airline Eurowings wants climate protesters to pay €120,000 in compensation for disruption caused at German airports. The Lufthansa subsidiary is ..."
Climate and Clean Air Coalition,https://www.ccacoalition.org/,3 days ago ... Short-lived climate pollutants Short-lived climate pollutants. Back. Short ... Euro VI and beyond: What next for the mission to eliminate transport sector ...
Publications on Climate change,https://www.ecb.europa.eu/home/search/html/climate_change.en.html,"Sep 29, 2023 ... ... Climate, Natural Disasters, Global Warming. 21 September 2022. ECONOMIC BULLETIN - ARTICLE. Fiscal policies to mitigate climate change in the euro area · Marien ..."
Finnish AI governance startup Saidot secures €1.75M for safe AI ...,https://tech.eu/2023/10/05/finnish-ai-governance-startup-saidot-eur175m-ai-implementation/,"Oct 5, 2023 ... Saidot, a Finnish AI governance startup, secures €1.75 million in funding to expand its SaaS offerings in Europe. The platform aids in implementing safe and ..."
This Is How We Protect the Climate | Bayer Global,https://www.bayer.com/en/sustainability/climate-protection,"Oct 6, 2023 ... Internal Carbon Price of 100€/t; 100 % purchased electricity from renewable sources: “Physical” green energy through PPA if possible; Integration of climate ..."
Infrared City secures €1M Pre-Seed funding for climate resilient ...,https://tech.eu/2023/10/10/infrared-city-secures-eur1m-pre-seed-funding-for-climate-resilient-design-tech/,"Oct 10, 2023 ... Infrared City secures €1M Pre-Seed funding for climate resilient design tech ... The funds will help the startup accelerate its technology, and expand its ..."
The outlook is mixed: the asymmetric effects of weather shocks on ...,https://www.ecb.europa.eu/pub/economic-research/resbull/2023/html/ecb.rb231010~d34f3708ac.en.html,"Oct 9, 2023 ... ... euro area inflation, spillovers of weather shocks between countries, a ... (2018), “The impact of disasters on inflation”, Economics of Disasters and Climate ..."
French startup bags €40M for unique CO₂ battery recycling tech,https://thenextweb.com/news/french-startup-40mn-co2-battery-recycling-tech,"Oct 9, 2023 ... French startup bags €40M for unique CO₂ battery recycling tech. Mecaware produces critical metals from retired batteries and production scrap. October 9, 2023 ..."
Estonian startup Bisly raises €3.6M for energy-saving building ...,https://investinestonia.com/estonian-startup-bisly-raises-e3-6m-for-energy-saving-building-automation/,"Oct 18, 2023 ... Estonian startup Bisly raises €3.6M for energy-saving building automation ... climate change,” said Bisly CEO and co-founder Siim Vips. “People are just becoming ..."
Velocity Challenge 1M euro startup prize - ArcticToday,https://www.arctictoday.com/%F0%9F%87%AB%F0%9F%87%AE-velocity-challenge-1m-euro-startup-prize/,"Oct 10, 2023 ... Velocity Challenge 1M euro startup prize. By. Arctic Today. -. 10 October ... The winning team will receive a €1M convertible note and one year of ..."
All For Climate - Open Collective,https://opencollective.com/allforclimate,"2 days ago ... ... €52 are available while I have selected ""no additional contribution"". This ... That's why we have created a non profit that can act as a fiscal host in the euro ..."
